Tweet,Created_at,Cleaned_Tweet,Predicted_Sentiment
"@IvankaNews_ Yes
I'm support mr.donald Trump https://t.co/ew9XOvgx1u",2025-01-05 12:26:03+00:00,yes im support mrdonald trump,Positive
"Ion Cristoiu despre intalnirea Georgiei Meloni cu Donald Trump.

🇮🇹🇺🇸 https://t.co/hhP6ckP7EE",2025-01-05 12:26:02+00:00,ion cristoiu despre intalnirea georgiei meloni cu donald trump,Positive
"👍
https://t.co/YwgZYxK6ih",2025-01-05 12:25:52+00:00,,Neutral
@AKODTV @bennyjohnson And Donald Trump is a reality star tv personality &amp; convicted felon. What’s your point?,2025-01-05 12:25:50+00:00,and donald trump is a reality star tv personality amp convicted felon whats your point,Positive
"@SurajGupta00 @ElonMuskOde No way, Elon is needed now and, as long as results are showing, as long as he’s needed.   You can hardly do much if you’re fighting age!!!
Not everyone is 
Donald Trump and not every businessman is Elon Musk!",2025-01-05 12:25:49+00:00,no way elon is needed now and as long as results are showing as long as hes needed you can hardly do much if youre fighting age not everyone is donald trump and not every businessman is elon musk,Neutral
"@RonFilipkowski Convicted Felon 
Constitutional law law violator 14-3
J6 instigator 
Donald J Trump belonged in prison before the Election",2025-01-05 12:25:48+00:00,convicted felon constitutional law law violator j instigator donald j trump belonged in prison before the election,Positive
"*PM Modi's twin challenges in 2025*

At home, how to rev up a slowing economy with bold reforms. Abroad, how to strike a win-win deal with a disruptive Donald Trump. Includes exclusive insights from Dr P.K. Mishra, Principal Secretary to PM.",2025-01-05 12:25:47+00:00,pm modis twin challenges in at home how to rev up a slowing economy with bold reforms abroad how to strike a winwin deal with a disruptive donald trump includes exclusive insights from dr pk mishra principal secretary to pm,Positive
"At $1000 We Are Saved.  You Will Never Have To Worry About Money Again

-President Donald Trump https://t.co/tC3Nt3H0dq",2025-01-05 12:25:42+00:00,at we are saved you will never have to worry about money again president donald trump,Positive
@king_of_Erl @KrahMax Donald Trump ist mein follower...ich bin kein fanboy...,2025-01-05 12:25:33+00:00,donald trump ist mein followerich bin kein fanboy,Neutral
"NOTICIAS DE ISRAEL | ¿QUÉ PIDE ISRAEL A DONALD TRUMP? | #israel #trump @LabranzaTV | LTV https://t.co/LcL6mjufwg a través de @YouTube Hoy en directo 5 de enero, 2025. A las 19:00 horas en España, hora de Israel 20:00, hora de Argentina 15:00",2025-01-05 12:25:30+00:00,noticias de israel qu pide israel a donald trump ltv a travs de hoy en directo de enero a las horas en espaa hora de israel hora de argentina,Neutral
Message To Donald Trump!! https://t.co/rdidMGMFwK via @YouTube,2025-01-05 12:25:28+00:00,message to donald trump via,Positive
"@realDonaldTrump has been ordered to appear in court before the inauguration.

The New York court will deliver its verdict on Donald Trump in the case of bribing a porn actress on January 10. The politician is expected to receive “probation.”

And all this just 10 days before the… https://t.co/BPsSTxkvct https://t.co/4GLWMiBVac",2025-01-05 12:25:28+00:00,has been ordered to appear in court before the inauguration the new york court will deliver its verdict on donald trump in the case of bribing a porn actress on january the politician is expected to receive probation and all this just days before the,Positive
Donald Trump ally Mike Johnson re-elected US House Speaker https://t.co/EKq83IObUE via @ft,2025-01-05 12:25:24+00:00,donald trump ally mike johnson reelected us house speaker via,Negative
"Johnson Suleman prophesied that US VP Kamala Harris would become president of the country by defe@ting Donald Trump.
Hafa now?
Baba don drop another album for 2025?",2025-01-05 12:25:14+00:00,johnson suleman prophesied that us vp kamala harris would become president of the country by defe donald trump hafa now baba don drop another album for,Negative
Donald Trump’s quiet Jan. 6 - POLITICO https://t.co/pqxTjE1E8F,2025-01-05 12:25:06+00:00,donald trumps quiet jan politico,Neutral
"Donald Trump mengeluhkan bendera AS masih akan dikibarkan setengah tiang untuk menghormati mendiang Presiden AS Jimmy Carter saat pelantikannya.
https://t.co/itKrRkbedH",2025-01-05 12:25:00+00:00,donald trump mengeluhkan bendera as masih akan dikibarkan setengah tiang untuk menghormati mendiang presiden as jimmy carter saat pelantikannya,Positive
"Dalam artikel berjudul ""Meet the 10 world leaders to watch in 2025"" yang disiarkan The Straits Times, Sabtu (4/1), Prabowo masuk daftar 10 pemimpin asing yang menjadi sorotan bersama Presiden Amerika Serikat terpilih Donald Trump, Perdana Menteri (PM) China Xi Jinping,",2025-01-05 12:25:00+00:00,dalam artikel berjudul meet the world leaders to watch in yang disiarkan the straits times sabtu prabowo masuk daftar pemimpin asing yang menjadi sorotan bersama presiden amerika serikat terpilih donald trump perdana menteri pm china xi jinping,Positive
"The legal challenges facing Donald Trump are complex and politically charged. It’s crucial that the process remains fair and transparent, upholding the rule of law while respecting due process. The integrity of our judicial system must be maintained to ensure justice for all, reg https://t.co/BT8G4hq9Fi",2025-01-05 12:24:58+00:00,the legal challenges facing donald trump are complex and politically charged its crucial that the process remains fair and transparent upholding the rule of law while respecting due process the integrity of our judicial system must be maintained to ensure justice for all reg,Positive
@blue_berets7 Donald trump aja keluar dari WHO karena gk percaya dengan kinerja WHO..yg selalu bikin issue pandemi,2025-01-05 12:24:56+00:00,donald trump aja keluar dari who karena gk percaya dengan kinerja whoyg selalu bikin issue pandemi,Positive
"‘The frame of disinformation has failed us’

@bimedotcom @Khulood_Almani @theomitsa @FmFrancoise @sulefati7 @NathaliaLeHen @IanLJones98 @bamitav @rvp @sallyeaves @BetaMoroney @sonu_monika @TheAIObserverX

https://t.co/Lg5F2kkhbI",2025-01-05 12:24:54+00:00,the frame of disinformation has failed us,Neutral
"How Long Should You Keep This Running?  3 Weeks

-President Donald Trump

You Will Likely Make Some Profit

Try Again $1000 https://t.co/ngmwye2LnL",2025-01-05 12:24:54+00:00,how long should you keep this running weeks president donald trump you will likely make some profit try again,Positive
